card_type_category,release_period,avg_number_of_keyword_mechanics_in_category,max_number_of_keyword_mechanics_in_category,percent_cards_with_keyword_mechanics
Permanent,1993-1995,0.37,4,31
Permanent,1996-2000,0.43,4,35
Permanent,2001-2005,0.55,6,44
Permanent,2006-2010,0.66,6,49
Permanent,2011-2015,0.75,6,58
Permanent,2016-2020,0.77,6,55
Permanent,2021-Present,1.05,10,67
Non-Permanent,1993-1995,0.0,1,0
Non-Permanent,1996-2000,0.09,1,9
Non-Permanent,2001-2005,0.32,2,31
Non-Permanent,2006-2010,0.31,4,28
Non-Permanent,2011-2015,0.37,2,36
Non-Permanent,2016-2020,0.36,4,32
Non-Permanent,2021-Present,0.47,4,40
